Unnamed: 0,TV,Radio,Newspaper,Sales
1.0,230.1,37.8,69.2,22.1
2.0,44.5,39.3,45.1,10.4
3.0,17.2,45.9,69.3,9.3
4.0,151.5,41.3,58.5,18.5
5.0,180.8,10.8,58.4,12.9
6.0,8.7,48.9,75.0,7.2
7.0,57.5,32.8,23.5,11.8
8.0,120.2,19.6,11.6,13.2
9.0,8.6,2.1,1.0,4.8
10.0,199.8,2.6,21.2,10.6
11.0,66.1,5.8,24.2,8.6
12.0,214.7,24.0,4.0,17.4
13.0,23.8,35.1,65.9,9.2
14.0,97.5,7.6,7.2,9.7
15.0,204.1,32.9,46.0,19.0
16.0,195.4,47.7,52.9,22.4
17.0,67.8,36.6,25.75,12.5
18.0,281.4,39.6,55.8,24.4
19.0,69.2,20.5,18.3,11.3
20.0,147.3,23.9,19.1,14.6
21.0,218.4,27.7,53.4,18.0
22.0,237.4,5.1,23.5,12.5
23.0,13.2,15.9,49.6,5.6
24.0,228.3,16.9,26.2,15.5
25.0,62.3,12.6,18.3,9.7
26.0,262.9,3.5,19.5,12.0
27.0,142.9,29.3,12.6,15.0
28.0,240.1,16.7,22.9,15.9
29.0,248.8,27.1,22.9,18.9
30.0,70.6,16.0,40.8,10.5
31.0,292.9,28.3,43.2,21.4
32.0,112.9,17.4,38.6,11.9
33.0,97.2,1.5,30.0,9.6
34.0,265.6,20.0,0.3,17.4
35.0,95.7,1.4,7.4,9.5
36.0,290.7,4.1,8.5,12.8
37.0,266.9,43.8,5.0,25.4
38.0,74.7,49.4,45.7,14.7
39.0,43.1,26.7,35.1,10.1
40.0,228.0,37.7,32.0,21.5
41.0,202.5,22.3,31.6,16.6
42.0,177.0,33.4,38.7,17.1
43.0,293.6,27.7,1.8,20.7
44.0,206.9,8.4,26.4,12.9
45.0,25.1,25.7,43.3,8.5
46.0,175.1,22.5,31.5,14.9
47.0,89.7,9.9,35.7,10.6
48.0,239.9,41.5,18.5,23.2
49.0,227.2,15.8,49.9,14.8
50.0,66.9,11.7,36.8,9.7
51.0,199.8,3.1,34.6,11.4
52.0,100.4,9.6,3.6,10.7
53.0,216.4,41.7,39.6,22.6
54.0,182.6,46.2,58.7,21.2
55.0,262.7,28.8,15.9,20.2
56.0,198.9,49.4,60.0,23.7
57.0,7.3,28.1,41.4,5.5
58.0,136.2,19.2,16.6,13.2
59.0,210.8,49.6,37.7,23.8
60.0,210.7,29.5,9.3,18.4
61.0,53.5,2.0,21.4,8.1
62.0,261.3,42.7,54.7,24.2
63.0,239.3,15.5,27.3,15.7
64.0,102.7,29.6,8.4,14.0
65.0,131.1,42.8,28.9,18.0
66.0,69.0,9.3,0.9,9.3
67.0,31.5,24.6,2.2,9.5
68.0,139.3,14.5,10.2,13.4
69.0,237.4,27.5,11.0,18.9
70.0,216.8,43.9,27.2,22.3
71.0,199.1,30.6,38.7,18.3
72.0,109.8,14.3,31.7,12.4
73.0,26.8,33.0,19.3,8.8
74.0,129.4,5.7,31.3,11.0
75.0,213.4,24.6,13.1,17.0
76.0,16.9,43.7,89.4,8.7
77.0,27.5,1.6,20.7,6.9
78.0,120.5,28.5,14.2,14.2
79.0,5.4,29.9,9.4,5.3
80.0,116.0,7.7,23.1,11.0
81.0,76.4,26.7,22.3,11.8
82.0,239.8,4.1,36.9,12.3
83.0,75.3,20.3,32.5,11.3
84.0,68.4,44.5,35.6,13.6
85.0,213.5,43.0,33.8,21.7
86.0,193.2,18.4,65.7,15.2
87.0,76.3,27.5,16.0,12.0
88.0,110.7,40.6,63.2,16.0
89.0,88.3,25.5,73.4,12.9
90.0,109.8,47.8,51.4,16.7
91.0,134.3,4.9,9.3,11.2
92.0,28.6,1.5,33.0,7.3
93.0,217.7,33.5,59.0,19.4
94.0,250.9,36.5,72.3,22.2
95.0,107.4,14.0,10.9,11.5
96.0,163.3,31.6,52.9,16.9
97.0,197.6,3.5,5.9,11.7
98.0,184.9,21.0,22.0,15.5
99.0,289.7,42.3,51.2,25.4
100.0,135.2,41.7,45.9,17.2
101.0,222.4,4.3,49.8,11.7
102.0,296.4,36.3,25.75,23.8
103.0,280.2,10.1,21.4,14.8
104.0,187.9,17.2,17.9,14.7
105.0,238.2,34.3,5.3,20.7
106.0,137.9,46.4,59.0,19.2
107.0,25.0,11.0,29.7,7.2
108.0,90.4,0.3,23.2,8.7
109.0,13.1,0.4,25.6,5.3
110.0,255.4,26.9,5.5,19.8
111.0,225.8,8.2,56.5,13.4
112.0,241.7,38.0,23.2,21.8
113.0,175.7,15.4,2.4,14.1
114.0,209.6,20.6,10.7,15.9
115.0,78.2,46.8,34.5,14.6
116.0,75.1,35.0,52.7,12.6
117.0,139.2,14.3,25.6,12.2
118.0,76.4,0.8,14.8,9.4
119.0,125.7,36.9,79.2,15.9
120.0,19.4,16.0,22.3,6.6
121.0,141.3,26.8,46.2,15.5
122.0,18.8,21.7,50.4,7.0
123.0,224.0,2.4,15.6,11.6
124.0,123.1,34.6,12.4,15.2
125.0,229.5,32.3,74.2,19.7
126.0,87.2,11.8,25.9,10.6
127.0,7.8,38.9,50.6,6.6
128.0,80.2,0.0,9.2,8.8
129.0,220.3,49.0,3.2,24.7
130.0,59.6,12.0,43.1,9.7
131.0,0.7,39.6,8.7,1.6
132.0,265.2,2.9,43.0,12.7
133.0,8.4,27.2,2.1,5.7
134.0,219.8,33.5,45.1,19.6
135.0,36.9,38.6,65.6,10.8
136.0,48.3,47.0,8.5,11.6
137.0,25.6,39.0,9.3,9.5
138.0,273.7,28.9,59.7,20.8
139.0,43.0,25.9,20.5,9.6
140.0,184.9,43.9,1.7,20.7
141.0,73.4,17.0,12.9,10.9
142.0,193.7,35.4,75.6,19.2
143.0,220.5,33.2,37.9,20.1
144.0,104.6,5.7,34.4,10.4
145.0,96.2,14.8,38.9,11.4
146.0,140.3,1.9,9.0,10.3
147.0,240.1,7.3,8.7,13.2
148.0,243.2,49.0,44.3,25.4
149.0,38.0,40.3,11.9,10.9
150.0,44.7,25.8,20.6,10.1
151.0,280.7,13.9,37.0,16.1
152.0,121.0,8.4,48.7,11.6
153.0,197.6,23.3,14.2,16.6
154.0,171.3,39.7,37.7,19.0
155.0,187.8,21.1,9.5,15.6
156.0,4.1,11.6,5.7,3.2
157.0,93.9,43.5,50.5,15.3
158.0,149.8,1.3,24.3,10.1
159.0,11.7,36.9,45.2,7.3
160.0,131.7,18.4,34.6,12.9
161.0,172.5,18.1,30.7,14.4
162.0,85.7,35.8,49.3,13.3
163.0,188.4,18.1,25.6,14.9
164.0,163.5,36.8,7.4,18.0
165.0,117.2,14.7,5.4,11.9
166.0,234.5,3.4,84.8,11.9
167.0,17.9,37.6,21.6,8.0
168.0,206.8,5.2,19.4,12.2
169.0,215.4,23.6,57.6,17.1
170.0,284.3,10.6,6.4,15.0
171.0,50.0,11.6,18.4,8.4
172.0,164.5,20.9,47.4,14.5
173.0,19.6,20.1,17.0,7.6
174.0,168.4,7.1,12.8,11.7
175.0,222.4,3.4,13.1,11.5
176.0,276.9,48.9,41.8,27.0
177.0,248.4,30.2,20.3,20.2
178.0,170.2,7.8,35.2,11.7
179.0,276.7,2.3,23.7,11.8
180.0,165.6,10.0,17.6,12.6
181.0,156.6,2.6,8.3,10.5
182.0,218.5,5.4,27.4,12.2
183.0,56.2,5.7,29.7,8.7
184.0,287.6,43.0,71.8,26.2
185.0,253.8,21.3,30.0,17.6
186.0,205.0,45.1,19.6,22.6
187.0,139.5,2.1,26.6,10.3
188.0,191.1,28.7,18.2,17.3
189.0,286.0,13.9,3.7,15.9
190.0,18.7,12.1,23.4,6.7
191.0,39.5,41.1,5.8,10.8
192.0,75.5,10.8,6.0,9.9
193.0,17.2,4.1,31.6,5.9
194.0,166.8,42.0,3.6,19.6
195.0,149.7,35.6,6.0,17.3
196.0,38.2,3.7,13.8,7.6
197.0,94.2,4.9,8.1,9.7
198.0,177.0,9.3,6.4,12.8
199.0,283.6,42.0,66.2,25.5
200.0,232.1,8.6,8.7,13.4
